0 , 2016-05-22 21:00:33.669000
1 , 2016-05-22 21:01:32.824000
2 , 2016-05-22 21:02:31.828000
3 , 2016-05-22 21:03:30.925000
4 , 2016-05-22 21:04:29.966000
5 , 2016-05-22 21:05:29.072000
6 , 2016-05-22 21:06:28.229000
7 , 2016-05-22 21:07:27.669000
8 , 2016-05-22 21:08:26.995000
9 , 2016-05-22 21:09:27.574000
10 , 2016-05-22 21:10:29.714000
11 , 2016-05-22 21:11:31.386000
12 , 2016-05-22 21:12:32.924000
13 , 2016-05-22 21:13:34.667000
14 , 2016-05-22 21:14:35.805000
15 , 2016-05-22 21:15:35.988000
16 , 2016-05-22 21:16:36.389000
17 , 2016-05-22 21:17:35.920000
18 , 2016-05-22 21:18:36.002000
19 , 2016-05-22 21:19:36.237000
20 , 2016-05-22 21:20:37.008000
21 , 2016-05-22 21:21:37.592000
22 , 2016-05-22 21:22:38.010000
23 , 2016-05-22 21:23:38.716000
24 , 2016-05-22 21:24:39.510000
25 , 2016-05-22 21:25:41.243000
26 , 2016-05-22 21:26:42.414000
27 , 2016-05-22 21:27:44.228000
28 , 2016-05-22 21:28:46.668000
29 , 2016-05-22 21:29:48.346000
30 , 2016-05-22 21:30:51.124000
31 , 2016-05-22 21:31:53.900000
32 , 2016-05-22 21:32:55.715000
33 , 2016-05-22 21:33:59.531000
34 , 2016-05-22 21:35:04.608000
35 , 2016-05-22 21:36:07.325000
36 , 2016-05-22 21:37:10.049000
37 , 2016-05-22 21:38:11.683000
38 , 2016-05-22 21:39:14.575000
